# time  ID  size  fromHost  toHost  TTL  isResponse
4164.0000 M140 743196 w96 w95 300 N 
4191.0000 M141 518416 c50 p38 300 N 
4218.0000 M142 541080 w99 w101 300 N 
4247.0000 M143 941589 p13 w110 300 N 
4274.0000 M144 674617 c65 w113 300 N 
4307.0000 M145 549490 w105 w81 300 N 
4341.0000 M146 758878 w112 w88 300 N 
4371.0000 M147 664885 c54 w116 300 N 
4397.0000 M148 689890 c75 w84 300 N 
4423.0000 M149 642191 p22 w95 300 N 
4448.0000 M150 781785 w114 w115 300 N 
4481.0000 M151 610562 c69 w106 300 N 
4514.0000 M152 903589 w93 p2 300 N 
4540.0000 M153 974276 w85 p33 300 N 
4573.0000 M154 757661 p34 c42 300 N 
4602.0000 M155 828379 w82 p24 300 N 
4631.0000 M156 773577 w89 t124 300 N 
4660.0000 M157 514049 w115 w114 300 N 
4692.0000 M158 640674 w105 w107 300 N 
4719.0000 M159 998913 p14 w92 300 N 
4751.0000 M160 795734 p32 p39 300 N 
4778.0000 M161 972439 w114 c46 300 N 
4804.0000 M162 697955 p35 w112 300 N 
4832.0000 M163 755220 w89 c72 300 N 
4858.0000 M164 659543 p15 c54 300 N 
4886.0000 M165 709592 c52 w118 300 N 
4920.0000 M166 766358 w92 w112 300 N 
4948.0000 M167 798197 c67 c44 300 N 
4978.0000 M168 635411 w82 c45 300 N 
5009.0000 M169 610098 c41 t120 300 N 
5041.0000 M170 844916 w107 w106 300 N 
5071.0000 M171 689925 p16 w82 300 N 
5102.0000 M172 926578 p3 p8 300 N 
5132.0000 M173 664855 w118 c46 300 N 
5163.0000 M174 952886 c58 p14 300 N 
5196.0000 M175 750628 w84 c53 300 N 
5226.0000 M176 579901 c69 c50 300 N 
5256.0000 M177 669688 c49 p11 300 N 
5289.0000 M178 890709 w110 w116 300 N 
5318.0000 M179 767122 p0 w94 300 N 
5352.0000 M180 766653 c76 p5 300 N 
5379.0000 M181 569604 p6 c42 300 N 
